,한글,영어
185,나 폰 중독인 거 같애,Am I a phone used as a phone .
186,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.,Please focus on my priorities .
187,우산 같은 사람이네요.,It s a person like an umbrella .
188,불금이네,It s a refund .
189,같이 내는 게 좋죠.,I m afraid it s good .
190,전여친이 나보다 나은 사람이라는 생각이 자꾸 들어,I feel like this is a better person than me .
191,바람 쐬고 와서 다시 들으세요.,Repeat it again because it s raining .
192,근처 산에 가보세요.,Go to the mountain near the mountain .
193,달리세요!,Would be honest !
194,잘 할 수 있을지 걱정 돼,I m worried if you can do well .
195,조심히 오세요.,Be careful ..1
196,잘 이겨내고 있네요.,It s a good thing .
197,궁금할 수 있어요.,I can t be sure .
198,안 사귀는 것보다 좋지요.,It is quite important than not .
199,작은것에 감사하는 마음을 가져보세요.,Take your mind .
