,한글,영어
44,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,have more confidence in your company and make confidence .
45,확신이 있을 때 시작해보세요.,tart when you have a conviction .
46,사랑한다고 표현해달라고 말해보세요.,tell me to express love .
47,밤새 많은 생각을 했나봐요.,i guess that s all night .
48,그 사람이 좋아하는 것들을 알아보세요.,arch for that person .
49,"간단하게 팔찌나 양말, 모자, 신발 등으로 시작해보세요.",just start a bracelet with my socks or shoes .
50,오늘 처리할 일 너무 많아,do you have too much to handle today ?
51,많이 놀랐겠어요.,i ve been very much .
52,낮술 조금만 하세요.,just get a little bit .
53,면허 없는데 따야겠지,you have no license ?
54,재활용도 안되는 사람에 대한 기억으로 괴로워 말아요.,it s not painful for people to be able to be recycled .
55,다음에는 우산에 이름이랑 연락처를 적어보세요.,please write down the name and contact the number on the next time .
56,한가지만 보면 몰라요.,i don t know when i see .
57,너무 무리하면 지쳐요.,i m too tired .
58,이별이 온 후,after parting is coming ?
59,마음이 복잡하겠어요.,i m feeling that .
60,힘들 때네요.,you are at the moment when you are tired .
61,친구들과 잘 어울려보세요.,look good with your friends .
62,배송 중이래,can you work ?
63,멍 때리기,is the doctor ?
64,여기까지가 한계야,is it all that is the limit ?
65,누구나 몰려가는 줄에 설 필요는 없어요.,no matter what i have to do is that new year .
66,아이스크림 먹어보세요,do you eat ice cream ?
67,짝사랑 시작하고 감정 기복이 심해.,the love of the love is worse and downs .
68,2년사귀다가 헤어젔는데,you have a hair with a year ?
69,한동안은 힘들지도 몰라요.,it might be hard for me .
70,어떻게 하느냐에 따라 다를 거예요.,it will be different depending on how it fits .
71,동성을 좋아하는게 비정상이 아닌걸 아는데 고백하는건 망설여져.,i know that i can t say that the sex is not an abnormal and the abnormal .
72,이젠 잊기로 해,do you have this ?
73,여자예요? 남자예요?,is the male man ?
74,도대체 무슨 꿈을 꾼 건가요.,what s a dream is to be scolded .
75,중요한 건 노력하는 과정이에요.,it is the process of effort to do an important thing .
76,사랑을 시작하게,do you start love ?
77,운동하면 뭐 하나,what do you do when i work out ?
78,많이 만나보세요.,meet a lot .
79,좋아하나봐요.,look like it .
80,엇갈리는 느낌 싫다,don t you feel like ?
81,내일 짝녀랑 영화보러갑니다.,i go to the movie with my day tomorrow .
82,태연하게 시작해보세요.,tart up the way .
83,무엇이든 말해보세요.,whatever you say .
84,카페 가서 차 마셔도 돼요.,you can drink the car and drink a car .
85,학교 폭력은 범죄에요.,chool violence is a crime .
86,술 마시다가 더 무너져요.,i have more more biting drinking .
87,이 말 기억하세요.,remember this word .
88,그러면 얼른 쟁취하세요.,then you can be done quickly .
89,이 여자 유부녀인가,is this a woman ?
90,썸 중에 고백 언제가 적절해?,when are you going to be a confession of the bungalow ?
91,자야하는데~~,do you have it ?
92,하나씩 하세요.,please do one one .
93,챙겨 드세요.,have some medicine .
94,기억도 안 나는 사소한 일로 싸워요.,i always fight with small things .
95,봄은 항상 돌아오죠.,pring is always a great season .
96,멋진 삶을 살고 싶어,do you want to live a wonderful life ?
97,돈 모으는 재미,do you have any money to save money ?
98,쉬운 일이 아니지만 함께라면 가능할 거예요.,it s not easy but if it is easy to be able to be able to be able to be able to be able t
99,짧으면 짧을 수록 좋죠.,it s good to have a lot of things .
100,얼마 되지 않았네요.,there s no time .
101,인연이 아니었나봅니다.,this was the reason why we are not the same .
102,좋아하는 걸로 착각하고 있었을 수도 있어요.,i could have been thinking about my favorite .
103,원피스 입는 게 낫겠지,do you wear a dress ?
104,기회가 다시 올 거예요.,the opportunity will be coming again .
105,사랑하니까 예뻐보이는 걸 수도 있어요.,you may look beautiful since you love .
106,별똥별 떨어지는 날,you are the flying day of the track ?
107,차였지만 잊지못하고 있는 한 남자입니다.,it is a man who has been a while .
108,썸 타는 사이에 얼마나 간섭 가능?,how much will it be possible between me to get along with the fullest ?
109,노력하고 있어요.,i m trying to try .
110,더 깊은 공부할 수 있을 거예요.,you will be able to study more .
111,사귀기 전에 감정을 갖고 서로 알아가는 단계라면 썸일 거예요.,if you have a result before we learn the feelings of each other we will be able to be a step .
112,고민이 많은데 표현을 못하겠어,i have a lot of thoughts can i speak to you ?
113,추억이 있나봐요.,you guys .
114,오늘 마지막 연락했습니다,could you call me last day ?
115,남자들은 좋아하는 여자한테 이럴 수 있어?,can men like a woman like this ?
116,그런 사람 얼른 잊으세요.,forget about that person .
117,그분에게 심경 변화가 있었나봅니다.,i guess he has a change to him .
118,인생은 반복의 연속이지요.,life is under repeated .
119,날씨가 많이 풀렸죠.,the weather is getting a lot .
120,남친이 나보다 눈물이 더 많아,when my boyfriend is more tears than me ?
121,좀 먹어도 괜찮아요.,i m okay to eat some .
122,바쁘거나 썸이 끝났거나겠죠.,it s not being able to be able to be a lot of enemies .
123,존재 자체로 큰 힘이 되어주고 있나봅니다.,i guess that s a big power itself is getting true .
124,사랑이 모두 정답이 될수는 없어요.,i don t have any answer to everyone .
125,그녀에게도 후폭풍이 올까??,will the storm be going to be on if we were on ?
126,도전하기 싫다,don t you want to try ?
127,우울합니다,is it gloomy ?
128,같이 놀아요.,let s play together .
129,더 좋은 사람 만날 거예요.,i will meet a better person .
130,날이 많이 추운데.,it s cold because of the day cold .
131,같이 놀러갈 친구가 없어,do you have a friend going to hang out together ?
132,앞머리만이라도 감으세요.,wash your bangs on the bangs .
133,후회하지 않았으면 좋겠어요.,i hope you don t regret .
134,헤어진지 4일,do you have it ?
135,마음이 많이 아프겠어요.,i m getting a lot of feelings .
136,저도 궁금해요.,i m wondering about it too .
137,남과 비교하지 마세요.,don t compare other people and compare .
138,언제쯤 무뎌질까,when can you get the weight ?
139,그 애의 눈에도 당신이 띄길 바랄게요.,i hope you were in the eyes of his child .
140,여유는 마음 가짐에 있어요.,it is on a mind for a rest .
141,괜한 의미부여는 하지 마세요.,don t give it up to the desired meaning .
142,영화관 알바 하고 싶다,how do you want to go to the movie ?
143,심심하다고,do you feel bored ?
144,잘하는 건 칭찬해주고 본받을 점은 본받으면서 그대로 사랑해주세요.,a compliment gives me a compliment and you should love it as well .
145,버려줘서 고마워.,thank you for being done .
146,다양하게 먹자고 해보세요.,try to have a variety of people .
147,한강에서 소주한잔.,i have a drink from the han river .
148,대청소를 해보세요!,try cleaning up ?
149,숙면하겠네요.,it s obvious to sleep .
150,잠이 최고의 보약이에요. 노력해보세요.,it s an exciting medicine for sleeping .
151,귀엽게 봐주세요.,please look cute .
152,힘들지 않았다면 거짓말일 거예요.,it s just a lie if it is not hard .
153,질긴 인연 드디어 끝인 것 같네,is it as if it is a year of the relationship ?
154,물 좋은데 어디야?,how is the water ?
155,청첩장 만들어야지,is the invitation ?
156,미래를 더 준비하고 있나봐요.,let s go to the future more .
157,제발 좀 정신차리세요.,please .
158,그냥 잊어버리세요.,just forget .
159,내가 좋아하는 사람이 행복했으면 좋겠다,what do you be happy with my favorite person .
160,후폭풍은 누구에게나 올 거예요.,the storm will be held by everyone .
161,말수 적은 남자인데 썸타도 괜찮을까?,i m a big man who is getting used but will it be okay if i get bored ?
162,데려다주려나봐요.,look at it .
163,심경의 변화가 있었을지도 모르겠네요.,i don t know how to have a change of what i have .
164,많이 지쳤을 거예요.,a lot of a lot .
165,정말 그래요. 하나같이 공감되곤 하죠.,it s so far as a lot of things sympathize .
166,미련만 남을 거예요.,i will do it only if i have a lingering desire .
167,책 좀 읽어야지,do you have a book ?
168,계속 속이 진짜 안 좋아,don t keep my feeling in mind .
169,바쁘거나 거절의 의미일 수도 있겠어요.,it might be the meaning of refusing of refusing .
170,모 아니면 도예요.,it s free .
171,그녀의 관심사에 호감을 드러내세요.,he is making a good impression on her .
172,결혼이야기를 꺼내고 싶은데 어느 분위기에 꺼내는게 좋을까?,i want to take the marriage when we leave the marriage talk about what is it ?
173,안경 빼니까 예뻐보여,you look pretty and you look pretty ?
174,소심남 좋아하는 여자도 있나요?,is there a girl who likes to be a good person ?
175,있을 수 있지요.,you can be able to be .
176,필요한 게 뭔지 살펴보세요.,look at the way what you need .
177,코 감기일 수도 있어요.,you can break a cold .
178,나랑 같이 놀아요.,let s play with me .
179,따뜻한 밥 먹고 힘내봐요.,cheer up and cheer up and cheer up .
180,저는 위기 조차 없네요.,i have no crisis .
181,무언가의 탄생을 뜻하기도 해요.,it means the birth of the won .
182,더 일찍 일어나세요.,wake up earlier .
183,좋은 여행 되길 바랍니다.,i hope you have a good trip .
184,슬픈 이야기네요.,you are sad about the sad story .
185,나 폰 중독인 거 같애,are you addicted to my phone ?
186,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.,try to focus on your priority and then .
187,우산 같은 사람이네요.,a person like an umbrella .
188,불금이네,is it a change ?
189,같이 내는 게 좋죠.,it s good to get along with it .
190,전여친이 나보다 나은 사람이라는 생각이 자꾸 들어,think of a better person think of me is a better person .
191,바람 쐬고 와서 다시 들으세요.,please come back and listen to it again .
192,근처 산에 가보세요.,go to the mountain near here .
193,달리세요!,please be out of it !
194,잘 할 수 있을지 걱정 돼,can you worry about it well ?
195,조심히 오세요.,come carefully .
196,잘 이겨내고 있네요.,there s a good chance .
197,궁금할 수 있어요.,i can t be curious about it .
198,안 사귀는 것보다 좋지요.,it is good than we are dating .
199,작은것에 감사하는 마음을 가져보세요.,have a happy mind for your mind .
