,한글,영어
69,한동안은 힘들지도 몰라요., it is hard for me to be a little tired . 
70,어떻게 하느냐에 따라 다를 거예요., it depends on how to deal with it . 
71,동성을 좋아하는게 비정상이 아닌걸 아는데 고백하는건 망설여져., i know that the genre of the woman is not like a woman but i know the person who is talking about it . 
72,이젠 잊기로 해, now i have to forget about it . 
73,여자예요? 남자예요?, is it a woman ? 
74,도대체 무슨 꿈을 꾼 건가요., what is your dream ? 
75,중요한 건 노력하는 과정이에요., it is a process that is a crucial process . 
76,사랑을 시작하게, i am going to the end of love . 
77,운동하면 뭐 하나, if you exercise a little . 
78,많이 만나보세요., look at a lot of things . 
79,좋아하나봐요., nice to be good . 
80,엇갈리는 느낌 싫다, i don't have a feeling of love and i have a feeling of the same meaning . 
81,내일 짝녀랑 영화보러갑니다., i watch a movie with her husband tomorrow . 
82,태연하게 시작해보세요., open your eyes . 
83,무엇이든 말해보세요., please tell me what you have . 
84,카페 가서 차 마셔도 돼요., you can go to the caf and get a cup of tea . 
85,학교 폭력은 범죄에요., school violence is crime . 
86,술 마시다가 더 무너져요., i feel more tired . 
87,이 말 기억하세요., remember this word . 
88,그러면 얼른 쟁취하세요., then you should get it quickly . 
89,이 여자 유부녀인가, this girl is a daughter of a woman . 
90,썸 중에 고백 언제가 적절해?, when does the man in the back of the night view ? 
91,자야하는데~~, i have to sleep and sleep . 
92,하나씩 하세요., do it one ? 
93,챙겨 드세요., take a pill . 
94,기억도 안 나는 사소한 일로 싸워요., i fight with my boss without a big regret . 
95,봄은 항상 돌아오죠., spring is always always . 
96,멋진 삶을 살고 싶어, i want to live a happy life . 
97,돈 모으는 재미, it is a fun story of money donation . 
98,쉬운 일이 아니지만 함께라면 가능할 거예요., it's not easy but it will be possible if you can do it . 
99,짧으면 짧을 수록 좋죠., short hair is also good . 
100,얼마 되지 않았네요., it doesn't matter . 
101,인연이 아니었나봅니다., i am in a relationship with no difference . 
102,좋아하는 걸로 착각하고 있었을 수도 있어요., i could have mistaken you . 
103,원피스 입는 게 낫겠지, it is better to wear a dress shirt but it is a bit difficult . 
104,기회가 다시 올 거예요., i will come back again . 
105,사랑하니까 예뻐보이는 걸 수도 있어요., i can be pretty pretty as a lovely woman . 
106,별똥별 떨어지는 날, the stars are falling down from the distance . 
107,차였지만 잊지못하고 있는 한 남자입니다., it's a car but i am a person who is a little older . 
108,썸 타는 사이에 얼마나 간섭 가능?, how many people can be in the river ? 
109,노력하고 있어요., i'm trying to do it . 
110,더 깊은 공부할 수 있을 거예요., i will study more deeply . 
111,사귀기 전에 감정을 갖고 서로 알아가는 단계라면 썸일 거예요., it will be a little awkward to see you before dating the date before the date of the day . 
112,고민이 많은데 표현을 못하겠어, i have a lot of expressions but i can't express my thoughts . 
113,추억이 있나봐요., let's have a look at the memories . 
114,오늘 마지막 연락했습니다, i called last week so i called you . 
115,남자들은 좋아하는 여자한테 이럴 수 있어?, can you guys see the women in the same situation ? 
116,그런 사람 얼른 잊으세요., please forget him . 
117,그분에게 심경 변화가 있었나봅니다., there must be a change of his mind . 
118,인생은 반복의 연속이지요., life is a series of success . 
119,날씨가 많이 풀렸죠., the weather was full . 
120,남친이 나보다 눈물이 더 많아, my older brother is more than crying because she is older than me . 
121,좀 먹어도 괜찮아요., it's okay for me . 
122,바쁘거나 썸이 끝났거나겠죠., it must have been done or have been done or not . 
123,존재 자체로 큰 힘이 되어주고 있나봅니다., i am confident that there is a big help between me . 
124,사랑이 모두 정답이 될수는 없어요., all the love is not a rejecting . 
125,그녀에게도 후폭풍이 올까??, is it okay to go along with her ? 
126,도전하기 싫다, i don't want to challenge but i am a person who wants to challenge it . 
127,우울합니다, i am depressed . 
128,같이 놀아요., let's play together . 
129,더 좋은 사람 만날 거예요., i will meet someone better . 
130,날이 많이 추운데., the weather is cold . 
131,같이 놀러갈 친구가 없어, i don't have a friend who lives with me . 
132,앞머리만이라도 감으세요., please trim the bangs . 
133,후회하지 않았으면 좋겠어요., i hope you don't regret it . 
134,헤어진지 4일, it is 4 days since i broke up with the last schedule . 
135,마음이 많이 아프겠어요., i will have a lot of pain . 
136,저도 궁금해요., i am curious about it too . 
137,남과 비교하지 마세요., don't compare the other people . 
138,언제쯤 무뎌질까, when i get a light surgery will be destroyed . 
139,그 애의 눈에도 당신이 띄길 바랄게요., i hope you see the snow in the case . 
140,여유는 마음 가짐에 있어요., there are times that comfort is . 
141,괜한 의미부여는 하지 마세요., don't give up on the meaning of voting . 
142,영화관 알바 하고 싶다, i want to have a part time job at a theater . 
143,심심하다고, i am bored that you are bored . 
144,잘하는 건 칭찬해주고 본받을 점은 본받으면서 그대로 사랑해주세요., good to hear good things and learn the languages that are good for you and i love them . 
145,버려줘서 고마워., thank you for being out of me . 
146,다양하게 먹자고 해보세요., try to eat various kinds of food . 
147,한강에서 소주한잔., i have a crush on han river . 
148,대청소를 해보세요!, do you clean up a pot ! 
149,숙면하겠네요., i will be in the bushes . 
150,잠이 최고의 보약이에요. 노력해보세요., let's take a deep sleep . try this . 
151,귀엽게 봐주세요., look at the cute . 
152,힘들지 않았다면 거짓말일 거예요., if you don't feel tired it will be a lie . 
153,질긴 인연 드디어 끝인 것 같네, i think the relationship is so good that we are going to see the end of the year . 
154,물 좋은데 어디야?, i like water is it ? 
155,청첩장 만들어야지, i have to make a wedding ceremony for foreigners . 
156,미래를 더 준비하고 있나봐요., are you going to have more than the future ? 
157,제발 좀 정신차리세요., please make sure to be a little bit of trouble . 
158,그냥 잊어버리세요., just forget it . 
159,내가 좋아하는 사람이 행복했으면 좋겠다, i hope that i can be a person who likes me . 
160,후폭풍은 누구에게나 올 거예요., the light will be welcomed by the slide . 
161,말수 적은 남자인데 썸타도 괜찮을까?, is it okay to be a little older than a tiger ? 
162,데려다주려나봐요., take it out . 
163,심경의 변화가 있었을지도 모르겠네요., i don't know if it was a big change . 
164,많이 지쳤을 거예요., it is a lot of things . 
165,정말 그래요. 하나같이 공감되곤 하죠., that's too ! i feel like it was a mistake . 
166,미련만 남을 거예요., i will be regretting it . 
167,책 좀 읽어야지, i have to read a book and read it . 
168,계속 속이 진짜 안 좋아, i don't feel like that i keep going to sleep deeply . 
169,바쁘거나 거절의 의미일 수도 있겠어요., it might be meaningless or meaningful . 
170,모 아니면 도예요., it's a noh or a flagship store . 
171,그녀의 관심사에 호감을 드러내세요., look forward to her interest in her . 
172,결혼이야기를 꺼내고 싶은데 어느 분위기에 꺼내는게 좋을까?, i want to get married but what should i do to take the atmosphere ? 
173,안경 빼니까 예뻐보여, let's look at the glasses because it's a lot of the glasses . 
174,소심남 좋아하는 여자도 있나요?, is there a girl who likes a cute girl ? 
175,있을 수 있지요., there can be a problem . 
176,필요한 게 뭔지 살펴보세요., please take a look at what you need . 
177,코 감기일 수도 있어요., you can catch a cold . 
178,나랑 같이 놀아요., let's play with me . 
179,따뜻한 밥 먹고 힘내봐요., have a warm warm and cheer up . 
180,저는 위기 조차 없네요., i have no chance to support the crisis . 
181,무언가의 탄생을 뜻하기도 해요., it is also called the meaning of the birth . 
182,더 일찍 일어나세요., i have to get more early . 
183,좋은 여행 되길 바랍니다., i hope you have a good trip . 
184,슬픈 이야기네요., it is a sad story . 
185,나 폰 중독인 거 같애, i think i am a cell phone that i can use a cell phone . 
186,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요., i always focus on myself and show you the front priority . 
187,우산 같은 사람이네요., it's a same person like a umbrella . 
188,불금이네, the credit card is a mess . 
189,같이 내는 게 좋죠., it's better to be with you . 
190,전여친이 나보다 나은 사람이라는 생각이 자꾸 들어, i think someone who has cheated on me is a good person than me . 
191,바람 쐬고 와서 다시 들으세요., please come back after the wind and the wind . 
192,근처 산에 가보세요., go to the mountain near the mountain . 
193,달리세요!, you don't have to come to the other side ! 
194,잘 할 수 있을지 걱정 돼, i am worried if i can do well . 
195,조심히 오세요., please come back safely . 
196,잘 이겨내고 있네요., it is good to do well . 
197,궁금할 수 있어요., i can speak a lot . 
198,안 사귀는 것보다 좋지요., i think it's better than i don't do it . 
199,작은것에 감사하는 마음을 가져보세요., please make a sincere heart . 
